endpoints,id_range
GCST90002395,[90002395]
GCST90002396,[90002396]
GCST90002397,[90002397]
GCST90002398,[90002398]
GCST90002399,[90002399]
GCST90002400,[90002400]
GCST90002401,[90002401]
GCST90002402,[90002402]
GCST90002403,[90002403]
GCST90002404,[90002404]
GCST90002405,[90002405]
GCST90002406,[90002406]
GCST90002407,[90002407]
GCST90002409,[90002409]
GCST90002423,[90002423]
GCST90002424,[90002424]
GCST90002425,[90002425]
GCST90002426,[90002426]
GCST90002427,[90002427]
GCST90002428,[90002428]
GCST90002429,[90002429]
GCST90002430,[90002430]
GCST90002431,[90002431]
GCST90002432,[90002432]
GCST90002433,[90002433]
GCST90002434,[90002434]
GCST90002435,[90002435]
GCST90002436,[90002436]
GCST90002437,[90002437]
GCST90002438,[90002438]
GCST90002439,[90002439]
GCST90002440,[90002440]
GCST90002441,[90002441]
GCST90002442,[90002442]
GCST90002443,[90002443]
GCST90002444,[90002444]
GCST90002445,[90002445]
GCST90002446,[90002446]
GCST90002447,[90002447]
GCST90002448,[90002448]
GCST90002449,[90002449]
GCST90002450,[90002450]
GCST90002451,[90002451]
GCST90002452,[90002452]
GCST90002453,[90002453]
GCST90002454,[90002454]
GCST90002455,[90002455]
GCST90002456,[90002456]
GCST90002457,[90002457]
GCST90002458,[90002458]
GCST90002459,[90002459]
GCST90002460,[90002460]
GCST90002461,[90002461]
GCST90002462,[90002462]
GCST90002463,[90002463]
GCST90002464,[90002464]
GCST90002465,[90002465]
GCST90002466,[90002466]
GCST90002467,[90002467]
GCST90002468,[90002468]
GCST90002469,[90002469]
GCST90002470,[90002470]
GCST90002471,[90002471]
GCST90002472,[90002472]
GCST90002473,[90002473]
GCST90002474,[90002474]
GCST90002475,[90002475]
GCST90002476,[90002476]
GCST90002477,[90002477]
GCST90002478,[90002478]
GCST90002479,[90002479]
GCST90002480,[90002480]
GCST90002481,[90002481]
GCST90002482,[90002482]
GCST90002483,[90002483]
GCST90002484,[90002484]
GCST90002485,[90002485]
GCST90002486,[90002486]
GCST90002487,[90002487]
GCST90002488,[90002488]
GCST90002489,[90002489]
GCST90002490,[90002490]
GCST90002491,[90002491]
GCST90002492,[90002492]
GCST90002493,[90002493]
GCST90002494,[90002494]
GCST90002495,[90002495]
GCST90002496,[90002496]
GCST90002497,[90002497]
GCST90002498,[90002498]
GCST90002499,[90002499]
GCST90002500,[90002500]
GCST90002501,[90002501]
GCST90002502,[90002502]
GCST90002503,[90002503]
GCST90002504,[90002504]
GCST90002505,[90002505]
GCST90002506,[90002506]
GCST90002507,[90002507]
GCST90002508,[90002508]
GCST90002509,[90002509]
GCST90002510,[90002510]
